URL,Last crawled
https://weddinggueststyle.com/_next/static/css/040ba617a3873698.css?dpl=dpl_8q63WC4zp4Fh4eiQ7WxiqcaEuTNM,2026-05-03
https://www.weddinggueststyle.com/_next/static/media/e4af272ccee01ff0-s.p.woff2,2026-03-23
