Time (UTC+08:00),Clicks,Impressions,CTR,Position
2026-04-27T23:00:00,0,14,0%,69.2
2026-04-28T00:00:00,0,7,0%,56.6
2026-04-28T01:00:00,0,1,0%,11
2026-04-28T02:00:00,0,11,0%,64.3
2026-04-28T03:00:00,0,5,0%,75.2
2026-04-28T04:00:00,0,3,0%,81.7
2026-04-28T05:00:00,0,10,0%,57.5
2026-04-28T06:00:00,0,5,0%,70
2026-04-28T07:00:00,0,9,0%,65.9
2026-04-28T08:00:00,0,8,0%,80.5
2026-04-28T09:00:00,0,4,0%,60
2026-04-28T10:00:00,0,1,0%,1
2026-04-28T11:00:00,0,3,0%,79.3
2026-04-28T12:00:00,0,6,0%,81.3
2026-04-28T13:00:00,0,3,0%,82.3
2026-04-28T14:00:00,0,0,0%,0
2026-04-28T15:00:00,0,6,0%,66.5
2026-04-28T16:00:00,1,7,14.29%,33
2026-04-28T17:00:00,0,2,0%,68.5
2026-04-28T18:00:00,0,18,0%,82.1
2026-04-28T19:00:00,0,0,0%,0
2026-04-28T20:00:00,0,6,0%,74.8
2026-04-28T21:00:00,0,4,0%,86.8
2026-04-28T22:00:00,0,0,0%,0
