Date,Clicks,Impressions,CTR,Position
2026-03-21,0,0,,
2026-03-22,0,4,0%,9.5
2026-03-23,0,6,0%,45.2
2026-03-24,0,10,0%,42.9
2026-03-25,0,152,0%,15.7
2026-03-26,0,25,0%,56
2026-03-27,0,28,0%,50.4
